42.347505,-71.084638,Anime Boston 2025,"May 23-25, 2025","Boston, MA",Active,Anime,anime-boston-2025
42.347505,-71.084638,Anime Boston 2024,"March 29-31, 2024","Boston, MA",Active,Anime,anime-boston-2024
42.347505,-71.084638,Anime Boston 2023,"April 7-9, 2023","Boston, MA",Active,Anime,anime-boston-2023
42.347505,-71.084638,Anime Boston 2022,"May 27-29, 2022","Boston, MA",Active,Anime,anime-boston-2022
29.9495253,-90.0767019,MechaCon 2021,"July 23-25, 2021","New Orleans, LA",Active,Anime,mechacon-2021
42.049631,-80.0842675,Hazard Con 2021,"July 23-25, 2021","Erie, PA",Active,Anime,hazard-con-2021
42.347505,-71.084638,Anime Boston 2021,"April 2-4, 2021","Boston, MA",Active,Anime,anime-boston-2021
39.6269434,-104.9016373,Colorado Anime Fest 2021,"March 19-21, 2021","Denver, CO",Active,Anime,colorado-anime-fest-2021
34.065143,-117.606642,Anim&eacute; Los Angeles 2021,"January 7-10, 2021","Ontario, CA",Active,Anime,anime-los-angeles-2021
40.4962217,-74.4412218,DerpyCon 2020,"October 30 - November 1, 2020","New Brunswick, NJ",Active,Anime,derpycon-2020
29.9495253,-90.0767019,MechaCon 2020,"July 24-26, 2020","New Orleans, LA",Active,Anime,mechacon-2020
42.049631,-80.0842675,Hazard Con 2020,"July 24-26, 2020","Erie, PA",Active,Anime,hazard-con-2020
30.4227514,-97.5912728,Okashicon 2020,"July 17-19, 2020","Pflugerville, TX",Active,Anime,okashicon-2020
42.347505,-71.084638,Anime Boston 2020,"April 10-12, 2020","Boston, MA",Active,Anime,anime-boston-2020
39.6269434,-104.9016373,Colorado Anime Fest 2020,"March 20-22, 2020","Denver, CO",Active,Anime,colorado-anime-fest-2020
34.065143,-117.606642,Anim&eacute; Los Angeles 2020,"January 9-12, 2020","Ontario, CA",Active,Anime,anime-los-angeles-2020
35.629936,139.793944,Comic Market 2019,"December 28-31, 2019","Tokyo, Japan",Active,Comic,comic-market-2019
40.757852,-74.0026158,Anime NYC 2019,"November 15-17, 2019","New York, NY",Active,Anime,anime-nyc-2019
39.523286,-119.7792349,SNAFU Con 2019,"November 15-17, 2019","Reno, NV",Active,Anime,snafu-con-2019
